Unit Type,Chinese Name,Category,Max Squad Size,HP per Soldier,Damage,Attack Speed,Range (tiles),Armor,Armor Pen,Speed (tiles/sec),Cost (gold),Role,Special Abilities,Strong Against,Weak Against,Terrain Notes
Ji Halberdiers,戟兵,Infantry,120,100,8,1.0,1,6,0,1.0,80,Line infantry anti-cavalry,Anti-cavalry +50% damage; Formation +20% armor with adjacent halberdiers,All cavalry types (1.5x),Crossbowmen (exposed in formation),Marsh: -20% speed -10% attack
Dao Swordsmen,刀兵,Infantry,80,90,12,1.2,1,4,0,1.2,100,Shock melee terrain specialist,No movement penalty in forest/hills; +15% damage in forest/hills; Shield -30% ranged damage,Rough terrain melee; crossbowmen/archers in melee (1.3x),Spearmen in open ground; cavalry,Forest/Hills: +15% damage no move penalty
Nu Crossbowmen,弩兵,Ranged,100,70,15,0.33,8,2,3,0.8,90,Primary ranged DPS,3-rank volley rotation; Armor penetration ignores 3 armor; Cannot fire while moving,Slow grouped infantry; halberdier formations,Melee combat (-50%); rain (-40%),Rain: -40% damage; Forest: -60% range -30% damage
Gong Archers,弓兵,Ranged,80,65,9,0.8,6,1,1,1.1,120,Mobile ranged indirect fire,Can fire over obstacles; Can fire while moving (-30% accuracy); Fire arrows +20% vs siege/ships,Light/unarmored targets; siege equipment,Heavy armor (low penetration); outranged by crossbows,Rain: -20% damage; Wind: ±10% accuracy ±1 range
Light Cavalry,輕騎,Cavalry,40,85,10,0.9,1,3,0,2.5,200,Scouting flanking pursuit,Charge bonus 2x first attack; +50% vs routing; Scout vision 2x; Supply line raiding,Archers; routing enemies; supply lines,Halberdiers (anti-cav); mountains/marsh,Plains 100%; Hills 50%; Forest 25%; Mountains 10%
Heavy Cavalry,重騎,Cavalry,25,110,18,0.7,1,8,0,2.0,350,Shock charge morale damage,Charge 2.5x + morale shock -8; 15% unseat chance vs braced infantry; Formation break -5 morale adjacent,Unbraced infantry; archers; siege,Halberdiers (anti-cav + brace); terrain-limited,Plains 100%; Hills 40%; Forest 15%; Mountains 5%
Horse Archers,騎射,Cavalry,30,75,7,0.6,5,2,0,2.3,280,Hit-and-run harassment,Fire while moving (no penalty); Parthian shot +20% retreating; Auto-kite AI,Slow infantry on open ground,Crossbowmen (outranged); rough terrain,Plains 100%; Hills 40%; Forest 10%; Mountains 0%
Siege Engineers,攻城兵,Siege,30,60,25,0.1,10,0,0,0.4,500,Anti-fortification bombardment,Area damage 2-tile radius; Anti-structure 3x; 5-sec setup time; Defenseless in melee,Fortifications; static formations,Everything mobile (cavalry raids),Slowest unit; needs protection
Elite Guard,親衛,Infantry,30,130,16,1.1,1,7,0,1.3,400,Superior combat morale anchor,Morale aura +5 within 3 tiles; Rout at morale ≤5; Bodyguard blocks ranged on general; Last stand +30% below 30%,All melee combat (generalist),Expensive to replace; no ranged,No terrain penalties
Scouts,斥候,Infantry,20,50,5,1.0,1,1,0,2.0,60,Reconnaissance ambush detection,Vision 3x normal; Reveals hidden units; Stealth (invisible >2 tiles); All-terrain movement,Scouting and intel,Extremely weak in combat (0.3-0.5x everything),No terrain penalty except mountains (1.5x)
Meng Chong,蒙冲,Naval,40,80,14,0.8,1,5,0,1.8,250,Fast attack ramming boarding,Ram 2x on contact + 25% speed reduction; Marines can disembark (-30% stats),Lou Chuan (faster can dodge),Fire Ships,Water only
Lou Chuan,樓船,Naval,100,70,12,0.5,6,4,0,0.8,450,Floating fortress ranged platform,Troop transport 100 soldiers; Elevated +2 range; Carries siege; Vulnerable to fire 2x,Meng Chong at range,Fire Ships (large slow flammable),Water only
Fire Ships,火船,Naval,10,40,200,0,0,0,0,2.2,150,Expendable fire attack,Self-destructs on contact; Fire spreads to adjacent ships 50/sec; Wind +50%; Morale shock -10 in 3 tiles,Lou Chuan (slow flammable target),Everything else (one-time use fragile),Wind direction critical
